|,|__District,|__Total_Population,|__Data__deployment_id,|__Data__dtime_start,|__Data__dtime_end,|__Data__value,|__Total_Cropland_km2,|__Total_RoadLength_m,|__Total_Area_km2,|__Total_Hospitals,|__Total_Markets,|__Total_Schools
,Ningo Prampram,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1640,,1902520,,,,
,Fanteakwa,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1630,,642613,,,,
,Aowin,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1600,,754893,,,,
,Ahafo Ano South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1580,,620659,,,,
,Gomoa West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1570,,406285,,,,
,Ada West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1550,,183936,,,,
,Sissala East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1530,,970592,,,,
,Gushiegu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1520,,726851,,,,
,Sene West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1520,,527922,,,,
,Bole,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1509,,2537542,,,,
,Ga West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1481,,2867023,,,,
,Wa East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1430,,845388,,,,
,Kwahu South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1420,,506204,,,,
,Bongo,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1401,,310649,,,,
,Wa Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1280,,1320068,,,,
,Sekyere East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1260,,330672,,,,
,Ada East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1240,,217692,,,,
,Nandom,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1222,,378543,,,,
,Wassa Amenfi East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1194,,585762,,,,
,Atebubu Amantin,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1186,,1297913,,,,
,Pru,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1180,,1386034,,,,
,South Tongu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1170,,683248,,,,
,Kwahu East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1160,,670371,,,,
,Tatale,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1144,,824182,,,,
,Wassa East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1110,,595888,,,,
,Sissala  West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1110,,576011,,,,
,Talensi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1025,,406406,,,,
,Nkwanta South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1020,,715250,,,,
,Adansi North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1000,,666179,,,,
,Builsa South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,994,,312447,,,,
,Kwahu West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,960,,758846,,,,
,Ekumfi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,940,,295875,,,,
,Kwaebibirem,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,912,,610059,,,,
,Atwima Nwabiagya,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,900,,1658652,,,,
,Builsa North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,880,,351321,,,,
,Keta Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,865,,610955,,,,
,Amansie West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,850,,758385,,,,
,Prestea / Huni Valley,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,845,,1088714,,,,
,Kasena Nankana West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,840,,299026,,,,
,Kma,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,820,,2967902,,,,
,Ajumako / Enyan / Esiam,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,820,,555643,,,,
,Nanumba South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,818,,620721,,,,
,Ejisu Juaben,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,800,,1410163,,,,
,Assin North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,780,,602778,,,,
,Kwabre,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,760,,926958,,,,
,Asuogyaman,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,720,,559550,,,,
,Wa West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,716,,622892,,,,
,Adenta,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,707,,1199449,,,,
,Asunafo North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,700,,1194171,,,,
,Lawra,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,698,,361104,,,,
,Denkyembour,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,670,,420276,,,,
,Nadowli / Kaleo,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,664,,616769,,,,
,Agona East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,620,,430054,,,,
,Awutu Senya West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,620,,691780,,,,
,Banda,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,590,,1378725,,,,
,Adaklu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,590,,273107,,,,
,Sawla / Tuna / Kalba,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,590,,952105,,,,
,Lambussie Karni,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,590,,373477,,,,
,Kintampo North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,587,,1030349,,,,
,La Nkwantanang Madina,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,570,,1015848,,,,
,Sefwi-Wiawso,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,560,,610510,,,,
,West Akim,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,550,,428541,,,,
,Awutu Senya East Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,530,,890135,,,,
,Jirapa,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,530,,629586,,,,
,Assin South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,510,,499019,,,,
,Ejura Sekye Dumase,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,500,,658066,,,,
,Asante Akim North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,490,,669246,,,,
,Nabdam,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,490,,118275,,,,
,Asikuma / Odoben / Brakwa,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,470,,386135,,,,
,Effutu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,470,,353697,,,,
,Tamale North Sub Metro,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,460,,1680698,,,,
,Amansie Central,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,450,,519715,,,,
,Upper Manya,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,440,,443774,,,,
,Ayensuano,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,407,,390175,,,,
,Sekyere South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,400,,543666,,,,
,Daffiama Bussie,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,400,,386398,,,,
,Sunyani Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,390,,1221275,,,,
,Kpando Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,390,,301760,,,,
,Nkoranza North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,384,,400209,,,,
,Sekyere Central,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,380,,937461,,,,
,Bodi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,360,,376097,,,,
,Asutifi South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,350,,670100,,,,
,Atwima Kwanwoma,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,350,,1113776,,,,
,Sekyere Afram Plains North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,340,,1344479,,,,
,Suaman,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,330,,279198,,,,
,Nsawam Adoagyiri,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,320,,697527,,,,
,Nkoranza South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,290,,722623,,,,
,Wassa Amenfi Central,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,285,,801365,,,,
,Akwapem North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,270,,793581,,,,
,Ga Central Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,270,,731303,,,,
,Asante Akim Central Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,260,,524383,,,,
,Juabeso,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,260,,556090,,,,
,New Juaben Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,240,,839440,,,,
,Biakoye,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,230,,310214,,,,
,Asunafo South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,230,,644514,,,,
,Ho Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,230,,813799,,,,
,Afadzato South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,220,,269929,,,,
,Asante Akim South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,210,,732957,,,,
,Bosome Freho,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,200,,274017,,,,
,Dormaa Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,180,,741835,,,,
,Agotime Ziope,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,180,,184344,,,,
,Suhum Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,173,,481891,,,,
,North Dayi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,170,,131332,,,,
,Ho West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,160,,430859,,,,
,Mampong Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,160,,579668,,,,
,Twifo Lower Denkyira,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,160,,338642,,,,
,Akyem Mansa,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,160,,327342,,,,
,Sefwi Bibiani / Anhwiaso Bekwai,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,159,,655105,,,,
,Atwima Mponua,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,150,,899735,,,,
,Sekyere Kumawu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,140,,400184,,,,
,Wassa Amenfi West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,140,,946855,,,,
,Techiman Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,140,,1225063,,,,
,Afigya Kwabre,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,130,,1129879,,,,
,Bosomtwe / Atwima / Kwanwoma,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,120,,834326,,,,
,Abura / Asebu / Kwamankese,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,120,,502804,,,,
,Upper Denkyira East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,120,,416277,,,,
,Twifo Ati-Morkwa,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,110,,450202,,,,
,Kintampo South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,106,,578008,,,,
,Sunyani West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,90,,864753,,,,
,Akatsi South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,90,,675896,,,,
,Offinso North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,90,,425560,,,,
,Akwapem South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,90,,449812,,,,
,Lower Manya,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,90,,417252,,,,
,Upper West Akim,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,90,,291446,,,,
,Techiman North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,90,,444962,,,,
,Hohoe Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,80,,529450,,,,
,Bekwai Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,80,,640074,,,,
,Bia West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,80,,751408,,,,
,Berekum,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,60,,950280,,,,
,Ketu North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,60,,710900,,,,
,Tano North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,50,,578681,,,,
,South Dayi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,50,,159342,,,,
,Dormaa East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,40,,495553,,,,
,Sefwi Akontombra,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,40,,533842,,,,
,Tain,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,30,,908408,,,,
,Jaman North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,20,,816016,,,,
,Offinso Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,20,,508142,,,,
,Akatsi North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,10,,161758,,,,
,Yilo Krobo,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,10,,541587,,,,
,Ledzokuku / Krowor,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,10,,744978,,,,
,Ashaiman,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,10,,315429,,,,
,Tema Metropolis,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,10,,1163811,,,,
,Jasikan,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,274587,,,,
,Kadjebi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,278266,,,,
,Dormaa West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,195979,,,,
,Jaman South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,533350,,,,
,Wenchi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,499132,,,,
,Asutifi North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,985099,,,,
,Tano South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,316578,,,,
,Ahafo Ano North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,620201,,,,
,Asokore Mampong Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,285792,,,,
,Bia East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0,,347081,,,,
Flood_Area_km2,Jasikan,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.11,,,5640086,,,
,Kadjebi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.14,,,7005791,,,
,Nkwanta South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,12.66,,,27791079,,,
,Krachi Nchumuru,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,38.63,,,12152574,,,
,Nkwanta North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,40.82,,,11185182,,,
,Krachi West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,43.95,,,12908100,,,
,Biakoye,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,20.83,,,11223147,,,
,Krachi East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,104.54,,,24560531,,,
,Dormaa West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.04,,,3860964,,,
,Banda,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,3.04,,,23372684,,,
,Jaman South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.01,,,7666643,,,
,Sunyani Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.07,,,5140750,,,
,Jaman North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.09,,,10475466,,,
,Berekum,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.07,,,8760951,,,
,Dormaa East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.03,,,5782525,,,
,Wenchi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.37,,,11633403,,,
,Sunyani West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.21,,,10752081,,,
,Tain,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.25,,,18587490,,,
,Dormaa Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.16,,,12272260,,,
,Asutifi South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.11,,,6054033,,,
,Asutifi North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.66,,,9494395,,,
,Asunafo South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.12,,,9356462,,,
,Asunafo North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.19,,,14308240,,,
,Tano South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.12,,,4962030,,,
,Tano North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.07,,,8496062,,,
,North Tongu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,12.82,,,11455667,,,
,Akatsi South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,2.76,,,5423816,,,
,South Tongu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,9.04,,,6511316,,,
,Agotime Ziope,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.65,,,3196500,,,
,Adaklu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,2.2,,,8074873,,,
,Ho West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.82,,,10159179,,,
,Akatsi North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.56,,,3179614,,,
,Ketu South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,9.8,,,2815154,,,
,South Dayi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,5.47,,,3630195,,,
,Kpando Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,8.22,,,3185032,,,
,North Dayi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,6.83,,,4740218,,,
,Central Tongu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,5.44,,,6905180,,,
,Afadzato South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,4.92,,,5557721,,,
,Ketu North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.55,,,4287533,,,
,Ho Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.62,,,5847749,,,
,Hohoe Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.2,,,6939232,,,
,Keta Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,15.45,,,7616629,,,
,Asante Akim South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.34,,,11688581,,,
,Sekyere Central,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,3.37,,,16556135,,,
,Sekyere Afram Plains North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1.67,,,35780599,,,
,Asante Akim North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,24.87,,,11420842,,,
,Offinso Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.08,,,5941979,,,
,Sekyere Kumawu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.09,,,5848655,,,
,Ahafo Ano North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.02,,,6019385,,,
,Sekyere South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.03,,,4228238,,,
,Asokore Mampong Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.0,,,242467,,,
,Kwabre,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.06,,,1246876,,,
,Amansie Central,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,3.93,,,8605060,,,
,Ejisu Juaben,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.98,,,5905388,,,
,Bosome Freho,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.24,,,5762809,,,
,Obuasi Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1.0,,,2235070,,,
,Mampong Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1.7,,,6801598,,,
,Atwima Kwanwoma,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.18,,,2549314,,,
,Kma,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.1,,,2172410,,,
,Asante Akim Central Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.28,,,3043618,,,
,Amansie West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,9.96,,,12470446,,,
,Ahafo Ano South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.33,,,12075103,,,
,Ejura Sekye Dumase,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,5.09,,,13607532,,,
,Adansi South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,2.49,,,13448886,,,
,Atwima Mponua,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1.73,,,19083256,,,
,Adansi North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.37,,,8646846,,,
,Atwima Nwabiagya,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,2.32,,,5872509,,,
,Bekwai Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.72,,,5423944,,,
,Bosomtwe / Atwima / Kwanwoma,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.75,,,4282166,,,
,Afigya Kwabre,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.12,,,4152253,,,
,Offinso North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.62,,,9601036,,,
,Sekyere East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.09,,,2424984,,,
,Cape Coast Metro,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1.04,,,1237521,,,
,Agona East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.25,,,3312220,,,
,Upper Denkyira West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,6.28,,,5864614,,,
,Twifo Ati-Morkwa,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,3.04,,,9696020,,,
,Awutu Senya East Municipal,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.13,,,671675,,,
,Ajumako / Enyan / Esiam,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.51,,,5272325,,,
,Gomoa West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1.92,,,4637908,,,
,Abura / Asebu / Kwamankese,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.1,,,3809801,,,
,Asikuma / Odoben / Brakwa,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.22,,,7817209,,,
,Agona West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.74,,,3604214,,,
,Twifo Lower Denkyira,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.31,,,5821383,,,
,Upper Denkyira East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.82,,,5080685,,,
,Awutu Senya West,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.71,,,2894765,,,
,Komenda Edna Eguafo / Abirem,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,3.89,,,4575079,,,
,Assin South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.39,,,11138779,,,
,Assin North,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,3.74,,,10169152,,,
,Mfantsiman,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,2.3,,,3040794,,,
,Effutu,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1.37,,,861757,,,
,Ekumfi,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,3.85,,,2798002,,,
,Gomoa East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,1.33,,,5459903,,,
,Akwapem South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.04,,,2268604,,,
,Lower Manya,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,3.19,,,3082069,,,
,Kwahu East,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,2.57,,,8639708,,,
,Nsawam Adoagyiri,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,0.09,,,1771054,,,
,Kwahu Afram Plains South,,Ghana_MaxFlood__20200715_20201014,2020-07-15,2020-10-14,113.65,,,31390607,,,
